,Source,Restaurant Name,Author,Rating,Time,Review
13,Google,Amarprakash Temple Waves,Ramji Sridharan,"Rated 1.0 out of 5,",4 years ago,"Worst developers and shame of people working there.Until you book an apartment only it’s easy to contact them, once you pay your booking amount you cannot  even speak them and cannot get any response from them. They never attend  your phone calls.They never hand over any project at time. It’s has been more than 2.5 years that I have been booked an apartment with temple waves and complete payment was done an year back still I haven’t got my home...They always say it as a dream home and I think it’s going to be only my dream.Don’t ever book a property with Amarprakash, you will definite regret for it if you do so..."
14,Google,Amarprakash Temple Waves,Karthik Kumar,"Rated 4.0 out of 5,",2 years ago,Nice location peaceful environment..park d clean area and near market d vegetables shop ..near vandalur d Poonamallee bypass road and temple ...
15,Google,Amarprakash Temple Waves,jayashree Pillai,"Rated 1.0 out of 5,",2 years ago,"Hello, I booked a flat in Temple waves. Mr Faizal was the sales person. He promised so many things and when i wanted to have a look at the flat,  it was in a filthy condition, (this is after paying token amount of 6 lakhs).  Now it is over a month the bank and cleared the loan and transferred to Amarpraksh. i have had no response from them about the registration. I have called Mr.Faizal and their Land line number for over a week but no response. I think i did a mistake taking this apartment but cannot do anything about it now. But if you are planning to buy one and have shortlisted Amarpraksh,  please don,t fall  pray to their usual sales gimmicks."
16,Google,Amarprakash Temple Waves,Arun kumar,"Rated 1.0 out of 5,",2 years ago,These guys are cheating fellows. Do not ever prefer this builder to buy flats.We paid the amount 10k to book an apartment and they said that will be refunded if we are not interested to buy.Six months happened they have not refunded and not responding properly.if they are not honest for 10k how do we expect the quality apartment after paying more than 30lakhs.
17,Google,Amarprakash Temple Waves,vasuki s,"Rated 5.0 out of 5,",3 years ago,This is the suitable place for kids who love to play and enjoy outdoors.The price is very reasonable and it looks like it has better things to offer in the future.
18,Google,Amarprakash Temple Waves,Venkat Venkat,"Rated 5.0 out of 5,",2 years ago,Pollution free environment. Best place to live a peaceful and healthy life. The common people also can live a high class life. It fits for both life style and budget.
19,Google,Amarprakash Temple Waves,kamal nath,"Rated 5.0 out of 5,",3 years ago,Luxurious and contemporary homes.Almost 3lakhs squad. Frog play area allowed to kids.And they haven ensured edges to assure kids safety. Also they have developed an enormous range of fun-filled amenities.
20,Google,Amarprakash Temple Waves,Muthusamy V,"Rated 2.0 out of 5,",2 years ago,Not good finished flats. They promised 66 amenities but they won't provide even 6 amenities. Maintenance was not good. Even after 6 months from the date of payment they don't allot car parking place. No perfection in hand over process... etc etc...
21,Google,Amarprakash Temple Waves,geetha geetha,"Rated 5.0 out of 5,",2 years ago,I have recently purchased a home here as a buyer i  had A lot of questions and queries. It is really had to see a great developers with friendly and sincere approach but the concern person were able to obtained all the necessary information quickly.
22,Google,Amarprakash Temple Waves,Richard Immanuel,"Rated 5.0 out of 5,",3 years ago,Very nice apartment..the best one i've ever bought. God has finally blessed with the perfect home with very good facilities.  It is very peaceful and awesome. The location isn't very remote and it is close to city. Water and power supply is good. Security is also good and fine here.
23,Google,Amarprakash Temple Waves,Thangaraj Subramaniyam,"Rated 1.0 out of 5,",7 months ago,Worst place ......Always water prob....Not maintain properly....
24,Google,Amarprakash Temple Waves,Aravinth Kumar,"Rated 5.0 out of 5,",3 years ago,Best apartment to buy in chennai in this price range. The construction build quality is good. We bought 2 apartment  in this project and both are awesome.
25,Google,Amarprakash Temple Waves,Suresh Kannaiyan,"Rated 5.0 out of 5,",3 years ago,The way they deal with the customers is always service oriented and that delighted us. Good attitude.
26,Google,Amarprakash Temple Waves,Sathish Kumar,"Rated 3.0 out of 5,",3 years ago,Place is ok for calm and quiet nature. It's good by improving the transportation facilities by getting into the knowledge of transport  corporation.
27,Google,Amarprakash Temple Waves,Govind Srinivasan,"Rated 3.0 out of 5,",a year ago,It is in a secluded place. Neatly maintained. Large residential complex.
28,Google,Amarprakash Temple Waves,induja,"Rated 5.0 out of 5,",3 years ago,Best place to live. Good maintenance. Good amenities. Peaceful environment.
29,Google,Amarprakash Temple Waves,Venkataswamy Rajagopal,"Rated 1.0 out of 5,",4 years ago,"Inaccessible by public transport.  Beware of Amarprakash builders.  They quote you one amount before purchase, after you commit yourself,  they show you an agreement and wont give you Possession Letter or NDC.  I have one flat D-503.  I paid amount for car parking long ago,  and they have alloted one for me which is non existence.  Nor they are telling it is under construction.  Say a big no to this cheats or learn yourself."
30,Google,Amarprakash Temple Waves,sathish kumar,"Rated 5.0 out of 5,",3 years ago,I thought it would be impossible to get a good home in Chennai in the current temperament and the market rates but Amarprakash have provided a grand apartment  for a reasonable amount it’s really helpful.
